Date,ZAR,EUR,USD
01-10-2021,17.234531,1,1.159549
02-10-2021,17.234531,1,1.159549
03-10-2021,17.244143,1,1.1608
04-10-2021,17.47753,1,1.16169
05-10-2021,17.417567,1,1.159602
06-10-2021,17.304954,1,1.155502
07-10-2021,17.283422,1,1.156066
08-10-2021,17.283574,1,1.157536
09-10-2021,17.325586,1,1.157536
10-10-2021,17.272908,1,1.156577
11-10-2021,17.410212,1,1.155435
12-10-2021,17.26572,1,1.15327
13-10-2021,17.150734,1,1.159804
14-10-2021,17.126276,1,1.159155
15-10-2021,16.827458,1,1.159911
16-10-2021,16.827458,1,1.159911
17-10-2021,16.948202,1,1.159676
18-10-2021,17.052013,1,1.161379
19-10-2021,16.890015,1,1.16319
20-10-2021,16.797283,1,1.165489
21-10-2021,17.067375,1,1.162517
22-10-2021,17.29516,1,1.164681
23-10-2021,17.294968,1,1.164681
24-10-2021,17.257232,1,1.1639
25-10-2021,17.079701,1,1.160881
26-10-2021,17.212345,1,1.15969
27-10-2021,17.482272,1,1.159978
28-10-2021,17.691668,1,1.168492
29-10-2021,17.62725,1,1.156103
30-10-2021,17.62725,1,1.156103
31-10-2021,17.599327,1,1.155809
01-11-2021,17.894664,1,1.159954
02-11-2021,17.862911,1,1.157809
03-11-2021,17.717792,1,1.161636
04-11-2021,17.578928,1,1.155399
05-11-2021,17.379196,1,1.155263
06-11-2021,17.379196,1,1.155263
07-11-2021,17.42687,1,1.156879
08-11-2021,17.290007,1,1.158763
09-11-2021,17.454464,1,1.159422
10-11-2021,17.750126,1,1.1486
11-11-2021,17.524317,1,1.144827
12-11-2021,17.500902,1,1.144308
13-11-2021,17.523777,1,1.144308
14-11-2021,17.553604,1,1.144191
15-11-2021,17.296559,1,1.136616
16-11-2021,17.576891,1,1.131791
17-11-2021,17.533361,1,1.131867
18-11-2021,17.782164,1,1.136887
19-11-2021,17.716212,1,1.128026
20-11-2021,17.716212,1,1.128026
21-11-2021,17.735449,1,1.12752
22-11-2021,17.824176,1,1.124164
23-11-2021,17.820867,1,1.124352
24-11-2021,17.791737,1,1.120273
25-11-2021,18.088128,1,1.120938
26-11-2021,18.419779,1,1.131857
27-11-2021,18.419779,1,1.131857
28-11-2021,18.218984,1,1.129133
29-11-2021,18.223684,1,1.129242
30-11-2021,18.013948,1,1.133138
01-12-2021,18.140823,1,1.13192
02-12-2021,17.990051,1,1.130614
03-12-2021,18.262122,1,1.131344
04-12-2021,18.256692,1,1.131344
05-12-2021,18.15371,1,1.13039
06-12-2021,17.953858,1,1.128394
07-12-2021,17.856167,1,1.127294
08-12-2021,17.821752,1,1.134436
09-12-2021,18.013217,1,1.129299
10-12-2021,18.02733,1,1.131676
11-12-2021,18.102677,1,1.131676
12-12-2021,18.053133,1,1.131145
13-12-2021,18.069782,1,1.128318
14-12-2021,18.125213,1,1.125752
15-12-2021,18.055943,1,1.129082
16-12-2021,18.064601,1,1.133472
17-12-2021,17.891728,1,1.12381
18-12-2021,17.895601,1,1.12381
19-12-2021,17.903566,1,1.124246
20-12-2021,17.79083,1,1.127779
21-12-2021,17.902089,1,1.128636
22-12-2021,17.802243,1,1.132761
23-12-2021,17.724064,1,1.132509
24-12-2021,17.667689,1,1.134039
25-12-2021,17.667689,1,1.134039
26-12-2021,17.613546,1,1.132362
27-12-2021,17.612193,1,1.132894
28-12-2021,17.840284,1,1.131358
29-12-2021,18.098523,1,1.135957
30-12-2021,18.049384,1,1.132375
31-12-2021,18.138658,1,1.137145
01-01-2022,18.138658,1,1.137145
02-01-2022,18.156679,1,1.137288
03-01-2022,17.937892,1,1.129982
04-01-2022,18.096101,1,1.128343
05-01-2022,17.981505,1,1.131346
06-01-2022,17.76046,1,1.129692
07-01-2022,17.708047,1,1.136169
08-01-2022,17.715726,1,1.136169
09-01-2022,17.69428,1,1.135325
10-01-2022,17.771707,1,1.133141
11-01-2022,17.643433,1,1.136619
12-01-2022,17.520406,1,1.144028
13-01-2022,17.646801,1,1.145601
14-01-2022,17.551569,1,1.141611
15-01-2022,17.551569,1,1.141611
